ags,plz,ort,kreis,bundesland,lat,lon,lat_kreis,lon_kreis,deprecated,einwohner,prim_plz
01053045,21493,Grove,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.527897,10.494753,53.593666,10.664327,0,263,1
01053046,23899,Gudow,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.55524,10.766579,53.593666,10.664327,0,1745,1
01053047,21483,Gülzow,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.44188,10.490413,53.593666,10.664327,0,1368,1
01053048,21514,Güster,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.5403,10.675932,53.593666,10.664327,0,1296,1
01053049,22929,Hamfelde,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.598225,10.446382,53.593666,10.664327,0,505,0
01053050,21502,Hamwarde,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.452625,10.421923,53.593666,10.664327,0,883,1
01053051,23911,Harmsdorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.70057,10.723959,53.593666,10.664327,0,314,1
01053052,21493,Havekost,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.541077,10.476191,53.593666,10.664327,0,194,1
01053053,21526,Hohenhorn,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.476204,10.368767,53.593666,10.664327,0,537,1
01053054,23883,Hollenbek,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.591293,10.820374,53.593666,10.664327,0,472,1
01053056,21514,Hornbek,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.56044,10.64686,53.593666,10.664327,0,226,1
01053057,23883,Horst,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.634014,10.765558,53.593666,10.664327,0,277,1
01053058,21483,Juliusburg,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.416706,10.504802,53.593666,10.664327,0,183,1
01053059,21514,Kankelau,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.55,10.5667,53.593666,10.664327,0,231,1
01053060,22929,Kasseburg,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.567467,10.416067,53.593666,10.664327,0,578,0
01053061,23847,Kastorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.74862,10.568734,53.593666,10.664327,0,1165,0
01053062,23911,Kittlitz,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.664154,10.915341,53.593666,10.664327,0,299,1
01053064,21514,Klein Pampau,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.512093,10.5856,53.593666,10.664327,0,679,1
01053066,23883,Klein Zecher,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.578114,10.873517,53.593666,10.664327,0,247,1
01053067,23628,Klempau,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.763187,10.659559,53.593666,10.664327,0,597,1
